vol,pdf_idx,expected_printed,textlayer_confirms,band_candidates
1,0,0,,
1,1,0,,
1,2,0,,
1,3,0,,
1,4,0,,
1,5,1,1,1
1,6,2,2,2
1,7,3,,
1,8,4,,
1,9,5,,
1,10,6,6,6
1,11,7,7,7
1,12,8,8,8
1,13,9,9,9
1,14,10,10,10
1,15,11,,1;1
1,16,12,,1;2
1,17,13,,1;3
1,18,14,,1;4
1,19,15,,1;5
1,20,16,16,16
1,21,17,,1;7
1,22,18,18,18
1,23,19,,1;9
1,24,20,20,20
1,25,21,,2;1
1,26,22,,2;2
1,27,23,23,23
1,28,24,,2;4
1,29,25,25,25
1,30,26,26,26
1,31,27,,2;7
1,32,28,,2;8
1,33,29,29,29
1,34,30,30,30
1,35,31,,3;1
1,36,32,,3;2
1,37,33,,
1,38,34,,3;3
1,39,35,,34
1,40,36,,3;5
1,41,37,,36
1,42,38,,3;7
1,43,39,,38
1,44,40,,3;9
1,45,41,,40
1,46,42,,4;1
1,47,43,,4;2
1,48,44,,43
1,49,45,,44
1,50,46,,4;5
1,51,47,,4;6
1,52,48,,47
1,53,49,,4;8
1,54,50,,4;9
1,55,51,,50
1,56,52,,51
1,57,53,,52
1,58,54,,5;3
1,59,55,,54
1,60,56,,5;5
1,61,57,,56
1,62,58,,5;7
1,63,59,,5;8
1,64,60,,59
1,65,61,,60
1,66,62,,6;1
1,67,63,,1;4;1;4
1,68,64,,6;3
1,69,65,,64
1,70,66,,6;5
1,71,67,,6;6
1,72,68,,67
1,73,69,,63
1,74,70,,6;9
1,75,71,,70
1,76,72,,7;1
1,77,73,,72
1,78,74,,7;3
1,79,75,,7;4
1,80,76,,7;5
1,81,77,,76
1,82,78,,7;7
1,83,79,,7;8
1,84,80,,79
1,85,81,,80
1,86,82,,8;1
1,87,83,,82
1,88,84,,83
1,89,85,,84
1,90,86,,8;5
1,91,87,,86
1,92,88,,8;7
1,93,89,,8;8
1,94,90,,89
1,95,91,,9
1,96,92,,91
1,97,93,,9;2
1,98,94,,93
1,99,95,,94
1,100,96,,9;5
1,101,97,,9;6
1,102,98,,97
1,103,99,,98
1,104,100,,99
1,105,101,,100
1,106,102,,1;1
1,107,103,,102
1,108,104,,103
1,109,105,,104
1,110,106,,1;5
1,111,107,,106
1,112,108,,107
1,113,109,,1;8
1,114,110,,109
1,115,111,,1;1
1,116,112,,111
1,117,113,,1;1;2
1,118,114,,1;1;3
1,119,115,,1;1;4
1,120,116,,1;1;5
1,121,117,,116
1,122,118,,1;1;7
1,123,119,,1;1;8
1,124,120,,1;1;9
1,125,121,,120
1,126,122,,121
1,127,123,,1;2;2
1,128,124,,123
1,129,125,,124
1,130,126,,125
1,131,127,,1;26
1,132,128,,127
1,133,129,,128
1,134,130,,1;2;9
1,135,131,,1;3
1,136,132,,1;3;1
1,137,133,,13;2
1,138,134,,133
1,139,135,,1;34
1,140,136,,1;35
1,141,137,,136
